Mixture	Olig	InN	Micro	ExN	OPC	NPC	Endo	Astro	Perc	P-value	Correlation	RMSE
GTEX-13X6I-0011-R7b-SM-5PNWP	0.11651305380909605	0.11741325571018441	0.02747804364798696	0.09898403333206800	0.22911159445331511	0.00695453552426251	0.06588969392707987	0.31370821054802356	0.02394757904798368	0.00000000000000000	0.75750296126091254	0.67061197604959843
GTEX-13X6I-0011-R8a-SM-5PNZF	0.18297687370222507	0.19174320599258024	0.06823568748133715	0.15069951889287883	0.12781650615011353	0.03821725977875043	0.08422222888386142	0.13033516148022145	0.02575355763803185	0.00000000000000000	0.43969369547011233	0.89823402907506422
GTEX-13X6J-0011-R10b-SM-5PNWA	0.07376640265281838	0.52342404156534683	0.00836427829087000	0.26675448508072930	0.01497680155651572	0.00000000000000000	0.01288938897514816	0.09171587142447021	0.00810873045410126	0.00000000000000000	0.84630018556079400	0.79386912492082606
GTEX-13X6J-0011-R3b-SM-5P9K5	0.05253013241236981	0.48743442954096750	0.00868466465068836	0.22739623507819171	0.00000000000000000	0.00000000000000000	0.01666194550265178	0.19633082753426828	0.01096176528086270	0.00000000000000000	0.89241728388902430	0.72474026208437470
GTEX-13X6J-0011-R4b-SM-5P9K4	0.16925741642552741	0.18177788314619581	0.02545240227520114	0.08171557639087973	0.23744497343926479	0.00000000000000000	0.01089037884312951	0.28012965694660702	0.01333171253319458	0.00000000000000000	0.70565602205915401	0.71679496664707176
GTEX-13X6J-0011-R5b-SM-5PNWT	0.09082076130151026	0.31096246346622053	0.01941500451991477	0.24939370794990404	0.09979974931027247	0.00000000000000000	0.02402772501458080	0.18617677893487905	0.01940380950271803	0.00000000000000000	0.86775294369759637	0.70099283641838628
GTEX-13X6J-0011-R6a-SM-5PNUB	0.05225794250261226	0.32833656280929635	0.01435064174917337	0.28125639129363178	0.04376885272591107	0.00000000000000000	0.01147616807421320	0.25795174669071597	0.01060169415444599	0.00000000000000000	0.85523067658048069	0.70664248583378986
GTEX-13X6J-0011-R7b-SM-5PNUC	0.12897767212586214	0.18942642184940503	0.02259452355998047	0.02962168622898328	0.45489574372052194	0.00000000000000000	0.02163524426216239	0.13265838473371383	0.02019032351937103	0.00000000000000000	0.96512164142432455	0.32728955836697221
GTEX-13X6J-0011-R8b-SM-5PNUA	0.20104218086734729	0.22439592024063848	0.03692668208246309	0.01669196061969274	0.34499223946864427	0.00000000000000000	0.02918931107067103	0.13112455265474121	0.01563715299580177	0.00000000000000000	0.72403606220946104	0.69118527439507815
GTEX-13X6K-0011-R10a-SM-5P9JR	0.05888303968481540	0.41062524885708374	0.02028902696166836	0.18188758637059588	0.12047510103135053	0.00000000000000000	0.02433112938103912	0.17227073208523416	0.01123813562821277	0.00000000000000000	0.72329003879057407	0.77563858229513438
GTEX-13X6K-0011-R3b-SM-5PNUD	0.12128263229353457	0.30766273282742279	0.02753929636273030	0.09743591316178363	0.25458220428829259	0.00000000000000000	0.02891291986624576	0.14868490951179986	0.01389939168819035	0.00000000000000000	0.74339923177942147	0.70270062934912791
GTEX-13X6K-0011-R4b-SM-5P9HO	0.13404671192357662	0.19875921190914003	0.04158996279294276	0.12706064443224416	0.13740314344123428	0.00000000000000000	0.03711722955235935	0.30122945238587090	0.02279364356263186	0.00000000000000000	0.73124430137207064	0.71409144601754804
GTEX-13X6K-0011-R5b-SM-5PNUE	0.10451823672698869	0.13407100171813569	0.03609762138937032	0.22216267517932883	0.17092378732463387	0.01137785551727042	0.03784540017205919	0.26230600363896117	0.02069741833325195	0.00000000000000000	0.69970675901484836	0.74407333393286179
GTEX-13X6K-0011-R6a-SM-5P9K6	0.05845850126071293	0.24223962214919345	0.03097963031634068	0.26357966283788598	0.07003110388890088	0.03538255200718275	0.02926825950361067	0.25373183323630799	0.01632883479986466	0.00000000000000000	0.76808341680773129	0.74500269843009914
GTEX-13X6K-0011-R7b-SM-5P9K7	0.11946412918288532	0.09767123086505468	0.03292257688156797	0.12891063966275718	0.25272113553992748	0.00000000000000000	0.05067053641697366	0.29489975295106219	0.02273999849977148	0.00000000000000000	0.77003461743158730	0.65825654685976787
GTEX-13X6K-0011-R8b-SM-5PNZ4	0.10248753378110960	0.34539907018995358	0.04123992495913459	0.26290235914185983	0.01871565363760962	0.04940451003853939	0.02960454585261268	0.13726136025189120	0.01298504214728936	0.00000000000000000	0.44718801838886396	0.90940282911493264
GTEX-1445S-0011-R10a-SM-5PNWB	0.07965987271911298	0.02203482505005296	0.02335177440462102	0.11254495165827651	0.06887149917403974	0.00000000000000000	0.04749859905407760	0.62363600188775081	0.02240247605206853	0.00000000000000000	0.82055143303617151	0.57502600687549144
GTEX-1445S-0011-R3a-SM-5P9HY	0.12567022407610762	0.00021224911098105	0.04286451978560347	0.15833926863379305	0.00000000000000000	0.00455452496109057	0.04061914223512170	0.60469259198700698	0.02304747921029558	0.00000000000000000	0.79708082711738504	0.60724502935449420
GTEX-1445S-0011-R4a-SM-5PNWN	0.21264284476526998	0.04890584079362360	0.07291372130642927	0.03676926451406277	0.35659191298968962	0.00000000000000000	0.06553713938958038	0.18906426644838231	0.01757500979296199	0.00000000000000000	0.74103716327718849	0.67126583136106910
GTEX-1445S-0011-R5a-SM-5PNUS	0.12818024460631916	0.00317196995108339	0.02856378923058604	0.01624267950973593	0.15666876045172365	0.00000000000000000	0.04770773480468549	0.59596914712994331	0.02349567431592284	0.00000000000000000	0.85962350204304327	0.51651440750740840
