Comparison	Trait	Ngenes	Beta	Beta_std	SE	pval	Data	Analysis	Direction	padj
hdbr_sexDE_femaleBiased	Schizophrenia	1173	-0.0082101	-0.0017521	0.034965	0.59282	Prenatal	sexDE	femaleBiased	0.87733
hdbr_sexDE_maleBiased	Schizophrenia	1713	0.024841	0.006332	0.03088	0.21057	Prenatal	sexDE	maleBiased	0.7554
hdbr_pseudotimeDE_upRegulated	Schizophrenia	6983	0.092591	0.041786	0.017955	1.271e-07	Prenatal	pseudotimeDE	upRegulated	1.271e-06
hdbr_pseudotimeDE_downRegulated	Schizophrenia	5077	-0.0069398	-0.0028119	0.018846	0.64365	Prenatal	pseudotimeDE	downRegulated	0.715166666666667
gtex_sexDE_femaleBiased	Schizophrenia	305	0.052721	0.005843	0.06743	0.21715	Adult	sexDE	femaleBiased	0.64059375
gtex_sexDE_maleBiased	Schizophrenia	618	0.11318	0.017739	0.05121	0.013556	Adult	sexDE	maleBiased	0.13556
gtex_pseudotimeDE_upRegulated	Schizophrenia	2551	0.050161	0.015314	0.025714	0.025552	Adult	pseudotimeDE	upRegulated	0.0851733333333333
gtex_pseudotimeDE_downRegulated	Schizophrenia	1685	0.095294	0.024106	0.029977	0.00074067	Adult	pseudotimeDE	downRegulated	0.00370335
hdbr_sexDE_femaleBiased	Tourette	1184	-0.028982	-0.0061617	0.027378	0.8551	Prenatal	sexDE	femaleBiased	0.87733
hdbr_sexDE_maleBiased	Tourette	1728	-0.010573	-0.0026843	0.0243	0.66826	Prenatal	sexDE	maleBiased	0.87733
hdbr_pseudotimeDE_upRegulated	Tourette	7097	0.00055615	0.0002509	0.013979	0.48413	Prenatal	pseudotimeDE	upRegulated	0.660177272727273
hdbr_pseudotimeDE_downRegulated	Tourette	5135	-0.017995	-0.0072749	0.014787	0.88817	Prenatal	pseudotimeDE	downRegulated	0.88817
gtex_sexDE_femaleBiased	Tourette	307	0.00603	0.00066473	0.052937	0.45466	Adult	sexDE	femaleBiased	0.6546
gtex_sexDE_maleBiased	Tourette	627	0.034298	0.0053681	0.040057	0.19594	Adult	sexDE	maleBiased	0.64059375
gtex_pseudotimeDE_upRegulated	Tourette	2593	0.0096759	0.0029527	0.020114	0.31524	Adult	pseudotimeDE	upRegulated	0.411182608695652
gtex_pseudotimeDE_downRegulated	Tourette	1711	0.01545	0.0039046	0.023601	0.25636	Adult	pseudotimeDE	downRegulated	0.401871428571429
